,content,sentiment,Proc_Tweet
17,through our vote ensure govt need and deserve anupam kher responds modis appeal for the 2019 elections ,0.0,vote ensure get need deserve anupam responds mode appeal 2019 election
18,"dont play with the words was talking about the modi swamy relation guru saying what good and chowkidar protecting the good mind you tweeted dark side terrorism there any brighter side you better know there any
",1.0,dont play word talk mode sway relation say good chowkidar protect good mind treat dark side terrorist brighter side well know
19,didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti ,-1.0,write chowkidar mean anti mode try visit ply use anti
20,was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him,1.0,one recently say people vote mode anti national put gen hood congress supporter japan support mode anti national great thing hear
21,with firm belief the leadership shri narendra modi bjp entering into politics given form file nomination for the khammam parliamentary seat proceeding khammam today ,-1.0,firm belief leadership narendra mode enter politics give form file nomination khammam parliamentary seat proceed khammam today
22,crush jaws those who shoutmodimodi says jds mla this inciting murder,0.0,crush jaw shoutmodimodi say la incite murder
23,sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh,-1.0,sultanpur utter trade loksabha candidate select pawn human hand actually public want give vote mode current candidate popular district candidate esp candidate sonbhadra sigh
24,thiugh nehru not alive but still alive heart modi for every failure nehru responsible ,-1.0,though near alive still alive heart mode every failure near responsible
25,"
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india",1.0,development become mass movement mode get economic social political empowerment life one witness positive paradise shift new india
26,has already taken notice and ordered probe now time for modi take notice muslim family being harassed beaten recently extremist hindus and was suggested leave india move pakistan,0.0,already take notice order probe time mode take notice muslin family harass beaten recently extremist hindu suggest leave india move parisian
27,was waiting for this modi will also talk about varanasi,0.0,wait mode also talk varanasi
28,according yogi imran masood kin azhar masood according this logic nirav modi lalit modi and narendra modi are brothers from the same mother,0.0,word man mood kin altar mood word logic nina mode last mode narendra mode brother mother
29,agree but only during the tenure modiganga rejuvenation works have started working,0.0,agree tenure modiganga rejuvenation work start work
30,the three codes modi cracked give india huge foreign policy jumpstart via ,1.0,three code mode crack give india huge foreign policy jumpstart via
31,through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 elections ,0.0,vote ensure get need deserve anupam responds modes vote war appeal 2019 election
32,"modi govts slashing indias education budget clear indicator that they dont care for indias future
congress president shri the other hand has ensured the increase the budget gdp
this the future india deserves ",-1.0,mode goat splash indians education budget clear indicator dont care indians futurecongress president hand ensue increase budget gdpthis future india deserves
33,being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive,1.0,bear religion female deity worship misogynistic sadistic tradition totally point visit man make tradition write one religious lunatic support religion oppressive
34,how such people are being made amazedn fear that frustation him may not result vote against sir waste ministerdisgrace entire modi cabinet ,-1.0,people make amazed fear frustration may result vote sir waste ministerdisgrace entire mode cabinet
35,only modi ,0.0,mode
36,check out latest article premier archery league via ,1.0,check late article premier archery league via
37,india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year ,1.0,india second optimistic locally executive job growth show survey indian senior executive say optimistic growth number job role year
38,people wish your vision india and least interested about your personal enmity with modi others its your personal problem handle this personally and dont expect nation will join your dirty fight with others tell why vote ,-1.0,people wish vision india least interested personal enmity mode others personal problem handle personally dont expect nation join dirty fight others tell vote
39,modi for eternal what wrong dear sirji perfectly fine with indian people,-1.0,mode eternal wrong dear sir perfectly fine indian people
40,impressive godrej tata complimenting our hoping gets second term ,1.0,impressive godfrey data compliment hop get second term
41,our maid saying this rahul keeps saying modi kalla yet goes and hugs him and winks magand idu bekagittu,0.0,maid say paul keep say mode yet go huge link morand du bekagittu
42,please vote for modi congress trying divide india,0.0,please vote mode congress try divide india
43,yes good job highly insensitivearrogant incompetent ploar needs defeated any costnobody knows why made such arrogant person minister gave tickethe out touch with grounddespite 3months upsc protests nvr met ,1.0,yes good job highly insensitivearrogant incompetent polar need defeat costnobody know make arrogant person minister give ticket touch grounddespite month protest meet
44,before 2014 hindustan has seen the worst for hindus own maj hindu rashtra who thrashed the rascal faces these anti indian politiciansantinationals urban naxals wait watch after modis win pakistan mein bhi hindu hona garv baat hogi✌,1.0,2014 hindustan see bad hindu may hindu rasher thrashed rascal face anti indian politiciansantinationals urban naval wait watch mode win parisian mein hi hindu hon gare beat hog
45,higher voting turnout directly proportional bjp victory wonder modi has launched campaigns like dont sit home ensure everyone your friends family relatives votes its now never for ,1.0,high voting trout directly proportional victory wonder mode launch campaign like dont sit home ensure everyone friend family relatives vote never
46,"modi govt has done remarkable job making corruption free india ultimate success shall achieved when corrupt are jailed modi govts vision corruptionfree india ensuring that all those who looted the country are now facing the law
via namo app",1.0,mode get do remarkable job make corruption free india ultimate guess shall achieve corrupt jail mode goat vision corruptionfree india ensure looted country face latvia name pp
47,use this beg for campaign ,0.0,use beg campaign
48,with welfare delivery gst ibc and feo place modi can exit psus 2nd term and use that money appoint more judges police forensic labs and fasttrack delivery justice education and healthcare citizens and invest defence india well,1.0,welfare delivery get bc place mode exit pus term use money appoint judge police forensic law fasttrack delivery justice education healthcare citizens invest defence india well
49,this the new india modi trying build with these leaders his party why have live with these deplorable characters ,-1.0,new india mode try build leader party live deplorable character
50,"overpromise and underdelivery – that pithy summary the economic outcome the last five years under approach the general election ौीाोै
",1.0,overpromise underdelivery pithy summary economic outcome last five year approach general election
51,not just healing touch india need surgery remove the cancer spread modi and rss,0.0,heal touch india need surgery remove cancer spread mode ross
52,farmers’ welfare about 474 farmers get second installment from next month the centre announced the 75000crore scheme ,0.0,farmer welfare 474 farmer get second installment next month centre announce 7500crore scheme
53,mistry man not then why drag modi the nri followers this the man wrong action should taken against him for spreading hatred please don’ have agenda condemning criminal activities sir fyi please,-1.0,misery man drag mode ni follower man wrong action take spreading hatred please agenda condemn criminal activity sir foi please
54,think you forgot dollar india handled exceptionally well and one the diplomatic shrewdness and achievement why you always undermine modi government you are always prone criticise even without considering other aspects,1.0,think forget dollar india handle exceptionally well one diplomatic shrewdness achievement always undermine mode government always prone criticise even without consider aspect
55,entrepreneurs are rising india after modi govt created system for them took care their tax concerns and created infra for them incubate well never happened congress you guys just want power sit and shit its simple for you,-1.0,entrepreneur rise india mode get created system take care tax concern create infra inculpate well never happen congress gun want power sit shit simple
56,nothing else its modi phobia,0.0,nothing else mode phobia
57,itna fark  ,0.0,far
58,once again modi government modi govts efforts last years governance reforms have been institutionalise honesty way that every system and institution designed inculcate well inspire honesty,0.0,mode government mode goat effort last year governance reform institutionalise honesty way every system institution design inculpate well inspire honesty
59,"all are with you sir namo again jai hind jai modi
muje puri bharat janta par vishwas hai sir aap hamre prime minister honge for our future our country future you must our prime minister again and again bjp",0.0,sir name jaw hind jaw modimuje pure hart santa par vista sir cap hare prime minister hinge future country future must prime minister
60,anchor doing canvas against modi not fit for journalism,-1.0,anchor canvas mode fit journalism
61,slams makers biopic for deliberately using name the credit ,0.0,slum maker topic deliberately use name credit
62,will these channels say modi also scared contests from two seats even propoganda needs little decency,-1.0,channel say mode also scar contest two seat even propaganda need little decency
63,"
this new india this indias century because has the yuva shakti take great heights modi govt stands firmly with them
via namo app",1.0,new india indians century yuma shaft take great height mode get stand firmly themvia name pp
64,100 sure sir will inform all family and friends give record numbers vote modi sir and bjp thanks,1.0,100 sure sir inform family friends give record number vote mode sir thanks
65,you will loose your existance election rafel corruption free and scam free all nation know the nature except narendra modi and bjp all party scammer aap nautanki baj,1.0,loose existence election real corruption free scar free nation know nature except narendra mode party summer cap nautanki bad
66,‘concierge’ for super rich makes unusual sight nirav modis hearing via ,1.0,converge super rich make unusual sight nina mode hear via
67,’ confused who said that intellectuals should decide modi’ policies the question was which intellectuals sided with modi and similarly there’ those who’ disagree with his policies too where’ the question deciding anything,-1.0,confuse say intellectual decide mode policy question intellectual side mode similarly disagree policy question decide anything
68,asked learn from how treat minority well does want what did minor ,-1.0,ask learn treat minority well want minor
69,for new india can vote for shri narendra modi ,1.0,new india vote narendra mode
70,"
modi govts years are over just cheating people promises has impacted lot things from the economy the country brotherhood the nation ",0.0,mode goat year cheat people promise impact lot thing economy country brotherhood nation
71,"what your logic sir
could you please throw some light the logic behind your tweet that bjpnda will lose modi fights from bengaluru south",0.0,logic sircould please throw light logic behind sweet bjpnda lose mode fight bengaluru south
72,not modi then who from opposition opposition leaders intent clear but dont understand why they are failing their attempt why not vote for modi they are not telling people what they will when come into power,1.0,mode opposition opposition leader intent clear dont understand fail attempt vote mode tell people come power
73,modi great his opponents generally are selfish idiots who keep attacking his governance skill modi doing great for 3040 yrs you tell what will you give oppo know after years modi rule that can wonders this stupid world created dishonest,-1.0,mode great opponent generally selfish idiot keep attack governance skill mode great 3040 yes tell give open know year mode rule wonder stupid world create dishonest
74,can pit more pictures and videos hindu extremist crime just years but use coz ppl are taken over storm modi and rss terror,1.0,pit picture video hindu extremist crime year use co pp take storm mode ross terror
75,vote kar narendra modi appeals everyone during tweetstorm ,0.0,vote war narendra mode appeal everyone tweetstorm
76,modi mother elected more khans would killed ,1.0,mode mother elect khan would kill
77,last time you paid loan some entrepreneurs named vijay maalya and nirav modi whose number this time please check next list,0.0,last time pay loan entrepreneur name vital marya nina mode whose number time please check next list
78,rahul doesnt make false promises like modi has always delivered whatever has been promised you may check his track record you can count him ,-1.0,paul make false promise like mode always deliver whatever promise may check track record count
79,kitna jalte tum modi your tweet shows your jealousy towards our great prime minister modi ,1.0,king alte tm mode sweet show jealousy towards great prime minister mode
80,centre state govts working together make india tbfree 2025 ,0.0,centre state goat work together make india three 2025
81,where ever rgis going through out the length breadth the country such the reception for him masses india just love him modi all other leaders bjp are just match,1.0,ever go length breadth country reception mass india love mode leader match
82,mad sandip singh have some sense javed akhtar could have called narendra modi producer sandip ssingh credit row entertainment news the indian express ,-1.0,mad sand sigh sense save altar could call narendra mode producer sand use credit row entertainment news indian express
83,thanks modi porn sites are banned,1.0,thanks mode worn site banner
84,did modi eat beef biryani and sleep asaduddin owaisi ,0.0,mode eat beef bryan sleep asaduddin waist
85,voted for modi last time but never again economy screwed hate ideology being propagated need not rahul but any one other than modi the next few weeks will tell there way bjp will get majority the propagandas only social media,-1.0,vote mode last time never economy screw hate ideology propagate need paul one mode next week tell way get majority propaganda social medium
86,congress fed biryani terrorists modi government fed them bullets and bombs yogi adityanath ,0.0,congress feed bryan terrorist mode government feed bullet bomb adityanath
87,open your eyes not see any critic modi cong exculding these mongers there vast indai like called bharat modis concern security praise worthy but his autocratic norm denying each and every allegation like kimjong its painful sorrowful too regards,-1.0,open eye see critic mode cong exclude monger vast india like call hart mode concern security praise worthy autocratic norm deny every allegation like kimjong painful sorrowful regard
88,requesting all stop using services they are giving favor big people like vijay malya nivav modi and taking money from all like nonscene charges,0.0,request stop use service give favor big people like vital marya naval mode take money like nonsense charge
89,this face doesn’ haunt you condemn the abduction girls but they’ alive and wel also recorded message still our personally ordered action unlike modi who treats muslims just vote bank,1.0,face haunt condemn abduction girl alive also record message still personally ordered action unlike mode treat muslin vote bank
90,sharam karodesh ghotale bech khaega tumhara just because modi youth have taken interest political issues youth are better judge the right and wrong ,1.0,sharp karodesh ghotale bench khaega tumhara mode youth take interest political issue youth good judge right wrong
91,dont forget petrol prices have risen ₹ modi government when gulf prices were going down ाेशबचा ,-1.0,dont forget petrol price rise mode government gulf price go
92,thought petta was the most antibjp movie recent times  ,1.0,think petya antibjp movie recent time
93,"election live blog met sapna choudhary yesterday want her campaigning for manoj tiwari
",1.0,election live blow meet anna choudhary yesterday want campaign manor toward
94,superbly summarizedjai hind vande mataramagain modi sarkar ,1.0,superb summarizedjai hind mataramagain mode makar
95,"country prospers when the women the country are leading the forefront are supported every endeavour their lives modi govt focussed policies where women have been enabled with the power empower themselves and the nation
via namo app",0.0,country prosper woman country lead forefront support every endeavour live mode get focused policy woman enable power empower nationvia name pp
96,sabbash mera vote for peppermit abvp,0.0,sabbath mere vote peppermit
97,yogi adityanath hold 100 rallies seek votes for narendra modi amit shah ,0.0,adityanath hold 100 ally seek vote narendra mode amid shah
98,from the very beginningmodi doing wada faramoshi you dont believe take example used say giving lakhs every indian and after years governance failed fulfill his promise ,-1.0,beginningmodi wad faramoshi dont believe take example use say give lake every indian year governance fail fulfill promise
99,modi politics hate modiji loves india modiji want make new india corruption free terror free india hate not nature modiji yes modiji hates only enemies our country terrorists destroying terrorists camp hatedont defame our humane kind pure honest,1.0,mode politics hate modify love india modify want make new india corruption free terror free india hate nature modify yes modify rate enemy country terrorist destroy terrorist camp hatedont defame humane kind pure honest
100,why limited here are other prefixes for twitter that perhaps more accurately capture the state the citizens ,1.0,limited premise twitter perhaps accurately capture state citizen
101,yogi adityanath takes dig congress saharanpur candidate imran masood ‘saharanpur also has the soninlaw azhar masood people have decide they want person who speaks the language masood azhar modi’ protégé who treading the path development ,0.0,adityanath take dig congress saharanpur candidate man mood saharanpur also soninlaw altar mood people decide want person speaks language mood altar mode proto tread path development
102,every bank company head chowkidhar protect the institution fear modi chowkidar tsunami making all the opposition frenzy had the bank chowkidar performed duty well then mallaya nirav modi wouldnt have lootedsonia looted bcoz mms was weak chowkidar,-1.0,every bank company head chowkidhar protect institution fear mode chowkidar tsunami make opposition frenzy bank chowkidar perform duty well allay nina mode lootedsonia loot boy mr weak chowkidar
103,people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance and overt lies have damaged the country,-1.0,people india fed incompetency mode get latent disuse power rampart corruption misgovernance overt lie damage country
104,modi government against corruption mob worried protect their loot will send behind bars comes the dreams looters including kejriwal ,-1.0,mode government corruption mob worry protect loot send behind bar come dreams looter include kejriwal
105,according nomination papers irani who destroyed career and life remember modi made her education minister via feeds ,0.0,word nomination paper run destroy career life remember mode make education minister via need
106,modi left his year old wife and returned her rss walay sab gay hain ,1.0,mode leave year old wife return ross malay say gay pain
107,shi kha yadav who can forget modi contest from seats 2014,0.0,ha madam forget mode contest seat 2014
108,mere bhai mai bhi 2010 graduate hucongress kon rojgaar faila rakha thabhai chor hai only bjp only modi for strong nation,-1.0,mere may hi 2010 graduate congress rojgaar fail zakhar thabhai cher mode strong nation
109,modi came power because five yrs ago the youth india were takenin his promise create jobsyr fast forward five yrs the present modi has his name lost jobs 45yrhigh unemployment ,1.0,mode come power five yes ago youth india take promise create job fast forward five yes present mode name lose job 45yrhigh unemployment
110,not think like that the dream once again the modi government will come,0.0,think like dream mode government come
111,whoa has any other actor made such strong supportive statement for modi ,1.0,whoa actor make strong suppurative statement mode
112,dont judge modi and his band fake chowkidhars who are bloodthirsty and hate mongers they have talibanized the indian mindsets ,-1.0,dont judge mode band face chowkidhars bloodthirsty hate monger talibanized indian mindset
113,"brahminnon brahmin may baad karna chahiyeour focuss should getting modi elected again
other wise antihindu guys will keep persecuting hindus even india
anyway even know the caste varda bhai but now donnot focus caste",1.0,brahminnon brain may bad anna chahiyeour focus get mode elect againother wise antihindu gun keep persecution hindu even indiaanyway even know caste vara focus caste
114,vote kar narendra modi appeals everyone during tweetstorm via ,0.0,vote war narendra mode appeal everyone tweetstorm via
115,vote kar appeals everyone during tweetstorm via namo app ,0.0,vote war appeal everyone tweetstorm via name pp
116,agree with you was unrequired was kinda uncomfortable for her too she must thinking this was unexpected idk what say has shown enough solidarity now they should get back their normal lives  wish someone makes such offer narendra modi lol,1.0,agree require kind uncomfortable must think unexpected ink say show enough solidarity get back normal life wish someone make offer narendra mode
117,"funny after dowing two planes endian air chief was replaced and after detection every endian sub near pakistani waters admiral replaced 
modi should look mirror and look for replacement becoming our agent like adnan sami destroying endia from within ",1.0,funny two plane indian air chief replace detection every indian sub near pakistani water admiral replace mode look mirror look replacement become agent like anna destroy india within
118,modi move forward are with you,0.0,mode move forward
119,why this election looking like modi versus nothing swarajya ,0.0,election look like mode versus nothing swarajya
120,you are with modi you are with india you are against modi you are anti india yes agree idea who this gentleman but speaks with conviction and clarity ,0.0,mode india mode anti india yes agree idea gentleman speak conviction clarity
121,ppl pakistan should never trust anyone who’ hand covered with blood muslims modi that person,0.0,pp parisian never trust anyone hand cover blood muslin mode person
122,only this the solution fight with modi wave ,0.0,solution fight mode wave
123,the first term prime minister won promise but the second term will have won performance not even narendra modi exception this,1.0,first term prime minister promise second term performance even narendra mode exception
124,hey have already pledged support for modi you also believe him use this link pledge your vote ,0.0,hey already pledge support mode also believe use link pledge vote
125,the name throwing out modi rule the task independent communist assertion abandoned will lead liquidation the movement,0.0,name throw mode rule task independent communist assertion abandon lead liquidation movement
126,used bjp money visit japan singapore usa for yrs and left bjp when modi asked how tdp spend bjp moneyexp details yrs political experience use increased pension dwacra yuvanestam schemes just before elections win votes,1.0,use money visit japan singapore us yes left mode ask top spend moneyed detail yes political experience use increase pension dwarf yuvanestam scheme election win vote
127,only modi this time,0.0,mode time
128,next song sung ,0.0,next song sung
129,hurrah welcome for chinook multi role helicopter really proud modi for right steps make strong nation urge people walk matching disciplined steps like fauji with modi for development and flying indian tiranga all our planets,1.0,hurrah welcome chink multi role helicopter really proud mode right step make strong nation urge people walk watch discipline step like fault mode development fly indian tiranga planet
130,kunal kamra pretentious chutiya modi did more work the last five years than the braincells you have lost since your birth while smoking weed,1.0,canal mamma pretension chutiya mode work last five year braincells lose since birth smoking weed
131,only narendra modiji vote kar narendra modi appeals everyone during tweetstorm via ,0.0,narendra modify vote war narendra mode appeal everyone tweetstorm via
132,cow please fight elections for graffiti mocking modi appears bjp fails find candidates bengal ,-1.0,cow please fight election graffiti mock mode appear fails find candidate bengal
133,shabana azmi takes makers modi biopic says javed akhtar’ name put ‘deliberately mislead public’ ,0.0,havana ami take maker mode topic say save altar name put deliberately mislead public
134,proud our priminister modi,1.0,proud priminister mode
135,what about halala whr whole family fucks poor woman den physically and mentally handicap kids are born out due genetic depression dont worry abt progress through time think abt religion still 7th century mindset,-1.0,hall whole family suck poor woman den physically mentally handicap kiss bear due genetic depression dont worry progress time think religion still th century midst
136,achhe din vikas black money jobs the only thing found post2014 new india ➡ modi lies ,-1.0,ache din vila black money job thing find post2014 new india mode lie
137,when will see your tweet for justice for you are blind fear modi rss bjp,-1.0,see sweet justice blind fear mode ross
138,will see more such attacks hindus modi supporters ,1.0,see attack hindu mode supporter
139,are rajput and will not vote for modi the cheapest india,0.0,rapt vote mode cheap india
140,modi once again  ,0.0,mode
141,also home nirav modi vijay malaya etc etc ,0.0,also home nina mode vital malay etc etc
142,this the only chance history independent india propel into economy due mainly reforms time the dynasty ruled were just now yrs lets reach for the stars ,1.0,chance history independent india proper economy due mainly reform time dynasty rule yes let reach star
143,rahul wise enough deny the absolute majority modi nda make aap cong deal and that’ the best for both the country kejriwal allow modi swee delhi with then finished for next delhi assembly too,1.0,paul wise enough deny absolute majority mode nd make cap cong deal best country kejriwal allow mode see delhi finish next delhi assembly
144,vote for modi only ,0.0,vote mode
145,thats modi magic ghochu,1.0,mode magic hoch
146,modi lotus bjp symble become soil every comman men voters reach every hoouses booths voters victims armed forces fmly for poll19 ,0.0,mode lot smile become soil every common men voter reach every house booths voter victim arm force fly poll
147,weak state capacity exacerbated excessive accountability because the nation always election mode fair modi did champion simultaneous elections but couldn’ get the opposition’ support comments needed what gurcharan das says here,1.0,weak state capacity exacerbate excessive accountability nation always election mode fair mode champion simultaneous election get opposition support comment need gurcharan da say
148,,0.0,nan
149,why not ask them vote for modern india modi why let even single vote waste make nda stronger centre nota,-1.0,ask vote modern india mode let even single vote waste make nd strong centre
150,modi will endup mad manlike hitler mussolini pinochet nero stalin,-1.0,mode end mad unlike hither mussolini pinch hero stain
151,obc pass general log pass rrb rpf constable cut off 2019 anusaryr modi hatao,1.0,obs pas general log pas rib constable cut 2019 anusaryr mode hata
152,modi teli obc because his upbringing and mindset can chowkidar had there been his kids they too would have become chowkidar gatekeeper,0.0,mode tell obs upbringing midst chowkidar kiss would become chowkidar gatekeeper
153,vote kar narendra modi appeals everyone during tweetstorm via namo app ,0.0,vote war narendra mode appeal everyone tweetstorm via name pp
154,"politickle29 aisaa hai stages ोै ा aspiration kuch you bhi karna hai
inspiration exampull from modi
respiration  becomes lifebreath like modis jeevanshailee way life hindooizhm",0.0,politickle29 anisya stage aspiration hi anna haiinspiration example modirespiration become lifebreath like mode jeevanshailee way life hindooizhm
155,"dear modi please through uploa ded link posted doordarshan india youtube about holi celebration from santiniketan
",0.0,dear mode please upon link post doordarshan india couture hold celebration santiniketan
156,voting for non bjp parties would take country into forever underdeveloped these corrupt would forever spoil future next gen vote for modi alone ,-1.0,vote non party would take country forever underdeveloped corrupt would forever spoil future next gen vote mode alone
157,sapna chaudhary dancer but sonia gandhi was not bar dancer she was working bar maid per research done her which means she was waitress she was more like modi modi chaiwala she was daruwali,1.0,anna chaudhary dancer sonya gandhi bar dancer work bar maid per research do mean witness like mode mode chaiwala daruwali
158,malnutrition india and constituencies among worst affected mallikarjun kharge’ gulbarga fared worst malnutrition indicators among highprofile constituencies thiruvananthapuram best ,-1.0,malnutrition india constituency among worst affect mallikarjun charge gulbarga fare bad malnutrition indicator among highprofile constituency thiruvananthapuram best
159,seems delirious can understand summer hai oopar election bhi modi will act against lynchers  saal kahan the bhaisaab ,0.0,seem delirious understand summer roar election hi mode act rancher seal kazan bhaisaab
160,your called comparison modi with imran clearly displays the quality raajdarbaree ness you,1.0,call comparison mode man clearly display quality raajdarbaree ness
161,india needs leader like rahul gandhi not liar like narendra modi ,0.0,india need leader like paul gandhi liar like narendra mode
162,where your hunainty when mulsim are being killed india kashmir now your humanity awaken our gov have taken action already dont worry its not modi sarkar,-1.0,humanity music kill india kashmir humanity awaken go take action already dont worry mode makar
163,ahead global target centre and the state governments are working together make india tbfree 2025 asserts modi ,0.0,ahead global target centre state government work together make india three 2025 asserts mode
164,even after having share seats delhi assembly fears and look for option tie modi fear clearly seen ,1.0,even share seat delhi assembly fear look option tie mode fear clearly see
165,wah super but simple convey general public about achievements thanks modi saab,1.0,super simple convey general public achievement thanks mode scab
166,now its turn just care about your country your minorities pakistan not modis india ,0.0,turn care country minority parisian mode india
167,"documents reveal modi and javadekars war indias environment
controversial amendments environmental laws and procedures were sought ",1.0,document reveal mode javadekars war indians environmentcontroversial amendment environmental law procedure seek
168,everyone known even you not known how speak politicals line innocents life hunting objections the world topmost popular may known you modi like kids help fillful normals heart ,1.0,everyone know even know speak political line innocent life hunt objection world topmost popular may know mode like kiss help willful normal heart
169,door door campaign karyakartas bardowali mondal ward favour our canditate @ pratima bhoumik bar phir modi sarkar bjp zindabad ,0.0,door door campaign karyakartas bardowali monday ward favour candidate prima bhoumik bar pair mode makar zindabad
170,all chor thug scamsters corrupts trying stop modi resume their business corruption,0.0,cher thus scatter corrupt try stop mode resume business corruption
171,"but what chowkidar chor
and everyone say modi hai mumkinhai
",0.0,chowkidar chord everyone say mode mumkinhai
172,not alone evks once asked what amma and modi were doing hotel for mins didnt even have respect for their age this due the arrogance that comes from knowing the media under their control and they will never scrutinised like others,-1.0,alone even ask mamma mode hotel mind even respect age due arrogance come know medium control never scrutinize like others
173,tshirt problem the writing modi there thing called election campaign which every party does their own way ,1.0,shirt problem write mode thing call election campaign every party way
174,bjp receipt for disaster there one combined opposition candidate against the chowkidaar tadipar party they will back their task selling tea gali good throw bjp out noway they can win opposition parties aap congress maya akhilesh mamta bjd combine out modi,1.0,receipt disaster one combine opposition candidate chowkidaar tadipar party back task selling tea gale good throw norway win opposition party cap congress may akhilesh mamma bed combine mode
175,congress time what modi has says now also same thing destroyed indian institution same congress point both are using ,0.0,congress time mode say also thing destroy indian institution congress point use
176,floor leader akbaruddin owaisi ive seen twitter chowkidar narendra modihe should also mention chowkidar his aadhaar card passportwant not chaiwalapakodewalaif modi ,0.0,floor leader akbaruddin waist give see twitter chowkidar narendra iodine also mention chowkidar aadhaar card passportwant chaiwalapakodewalaif mode
177,“cow please fight elections for ” graffiti mocking modi appears bjp fails find candidates bengal ,-1.0,cow please fight election graffiti mock mode appear fails find candidate bengal
178,all nationalists support modi,0.0,nationalist support mode
179,vote for educated decent leaders dont for corrupt criminals yaar you always speak against ,-1.0,vote educate decent leader dont corrupt criminal year always speak
180,why are you hell bent manoj tiwari just her photos came with priyanka dont you have enough candidates celebrities for campaigning reel life celebrity mentality strange modi jis developmental work his team efforts are more than enough bjp might not need sapna,1.0,hell bent manor toward photo come priyanka dont enough candidate cerebritis campaign feel life celebrity mentality strange mode developmental work team effort enough might need anna
181,are baap baap every one tell gandhi family rich modi family rich,1.0,back back every one tell gandhi family rich mode family rich
182,sorry doc people didnt buy his dream but the convenient avenue offered lynchers castiest and religious bigots dont think indians dream for their imagination they are already above someone caste hierarchy and thats all they want ,-1.0,sorry people buy dream convenient avenue offer rancher easiest religious right dont think indian dream imagination already someone caste hierarchy want
183,yawnn tell this drunkard then that modi also guarding her mother brother herself and her husband,0.0,yawn tell drunkard mode also guard mother brother husband
184,like your way thinking but really just simple that women have rights because there are female deities,1.0,like way think really simple woman right female deity
185,‘this election fight for the soul india’ ,0.0,election fight soul india
186,with modi all his drawbacks atleast know what are for but with rahul mahaghatbandhan are surely for maha mess,1.0,mode drawback least know paul mahaghatbandhan surely masha mess
187,analysis indian air chief accepted defeat still weak not capable responding defending modi jis corruption rafale makng strong case for purchasng rafale free tea for pilots india need have tea pakistan cost mig21,1.0,analysis indian air chief accept defeat still weak capable respond defend mode corruption rattle make strong case purchase rattle free tea pilot india need tea parisian cost might
