content,sentiment
HAPPY BIRTHDAY KATRIKA  I miss you though unhappy  miss having you in our group and all haih  anyway,-1
 have a blast okay. love you!,-1
I miss my dogs too unhappy ,-1
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1
DIGITAL MONSTERS WANT TO WORK WITH BLACKPINK MAKE IT HAPPEN PLS unhappy  ,-1
This is so me though ,-1
i miss my boys unhappy  i have started working with my own local boys but they are very nervous college friends,-1
we were classmates for alvarez but i don't really see you around school anymore unhappy ,-1
ugh i miss my baby crying ,-1
if anyone needs me I'll be on my vent unhappy ,-1
why is it so hard for you to notice me? Haay unhappy ,-1
i cant deathmatch you piss off unhappy ,-1
When are you going to notice yous? unhappy ,-1
And I miss my bedroom too unhappy ,-1
please take all the rest you needwe love you so so much :(i hope you feel better soon sunshine! ,-1
oh,-1
 same unhappy ,-1
I miss my baby unhappy  ,-1
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,-1
i miss them unhappy ,-1
i miss jihoon sad ,-1
My only one cat yang manja sangat and now someone has took him unhappy  ,-1
Not tired and there's nothing to do great combo unhappy ,-1
And this tweet made me cry!! crying ,-1
back to coconut hair unhappy ,-1
Please return the jacket unhappy  ,-1
who would you call when you are roused in midnightreminds me of the time(s) they were roommates unhappy  unhappy  unhappy YOU SUCK,-1
I feel so bad,-1
 and all the mobbing in Australia,-1
 I just hope everything goes right from now on unhappy ,-1
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,-1
hungry unhappy  but no time to buy food,-1
How can I set an alarm for 9am and snooze it until 12 unhappy ,-1
Sad story unhappy  ,-1
Koalas are dying of thirst  and it's all because of us unhappy  ,-1
Hey screenshot sainyo  . Hmm tumagal sana us . Stay what uu are . Im always here fr uu no matter what  . Luv uu so mats ,-1
Looks awesome Annette,-1
 but I can't make it unhappy  Thanks for the heads up though. Please take photos!,-1
 narank 1 ako bcos of yoyou. can you please congratyoulate me even if its already late? unhappy  ,-1
it can't be over unhappy ,-1
RELATABLE unhappy ,-1
how about me unhappy ,-1
Offline  unhappy ,-1
heeeeey notice me unhappy ,-1
i want to hang out with them unhappy ,-1
he was talking with the girl behind jin unhappy ,-1
I need cheering up,-1
 my dog who my family have had for 18 years is being put down tomorrow unhappy ,-1
Molly  1. I wish I could have her hair unhappy  2. Cutest Michael girl  milly on the phone 3. HAIIIIIIR  and your lips 4. Friend5. Yes6. -,-1
even me unhappy  *hugs*,-1
I'm a building a LLVM backend so,-1
 I really need to build it unhappy ,-1
I can't access my school emails from any web browser unhappy  Yet I have so much homework for all my subjects on there,-1
oh sad unhappy  goodluck!,-1
Ouch Elena Eremina's foot slip,-1
 that fall was a mess unhappy ,-1
donny unhappy  ,-1
you're so rude unhappy  ,-1
oh my god same! we should attend on some lessons together sometime just kidding HAHAH ,-1
Every time Meredith has flashbacks of Derek Shepherd I can't hold back the tears unhappy ,-1
Whew! Can't asses myself unhappy ,-1
But I no have round ass crying  ,-1
unhappy  i saw somebody said his hair fell out and bighit trying to figure it out,-1
koh,-1
 tolong bantu sampaikan keluhan ARMYs ke dong. Too many complaint here and there since day 1 of ticketing unhappy ,-1
I keep waking up in the middle of the night sick as shit. unhappy ,-1
I cringed so hard :(That fall was such a shame- she had been looking really good until that point...,-1
man its been about 2hrs since their vlive...its nearly over for sydney ppl... unhappy  goes so quick so appreciate every second!!,-1
Hi Aled,-1
 having no mobile signal sucks unhappy  What's the full postcode for where this is happening? We're keen to help SI,-1
That sucks unhappy ,-1
I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part crying  ,-1
i really really need them right now unhappy ,-1
Hey guys could you help me by retweeting this? I've heard was legitimate and I really need a VPN account rig,-1
GOD NOT THE KOALAS ,-1
Feeling bad unhappy  with 89 others,-1
And this tweet made me cry!! crying ,-1
I could write paragraphs about it xDShame its theoretically impossible in real life unhappy ,-1
Thank you roshhh  i miss you and everyone too.  love youuu more ,-1
Me too sweetie I know how you feel unhappy ,-1
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,-1
.the person who chose shut the fuck up: unhappy ,-1
sadly yes. since he was expected to continue losing support before dropping bombs unhappy  going up when expe ,-1
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,-1
he could be whatever,-1
 so? sad,-1
But the dub is what I watch for Pokemon unhappy ,-1
are dying of thirst  and it's all because of us unhappy   ,-1
Youngjae during fansign on 04/10/17 constantly massaging his back. Clearly something wrong but pretended he was not,-1
but... you use a purple flowercrown in your display picture unhappy ,-1
i still cant unhappy ,-1
well that's terrible unhappy ,-1
Sorry piss off /3 unhappy ,-1
I woke up at 4:17,-1
 I'm a joke unhappy ,-1
So right! Sir Rob loves to torture us unhappy ,-1
My salary reminds me of the weekends,-1
 I always know when it come but have no fucking clue how it goes unhappy  ,-1
i feel so sick today unhappy ,-1
I wish but I can't sad ,-1
its my birthday tomorrow baby unhappy ,-1
I'm slow unhappy  ,-1
Super unhappy ,-1
trashing others and having a possee behind you boosts your ego,-1
 but not your career. unhappy ,-1
I just finished gym,-1
 had chopsuey before that unhappy  laughing my ass off humble feeds are always the bomb!,-1
Still not possible! unhappy ,-1
whaaaaaaaat!!! You and unhappy  ,-1
You had loads of toys. All I had was a Sweep hand puppet AND the bastard lost its squeak! unhappy ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
I should do aegyo because I lost unhappy  ,-1
Also please send prayers and sympathy because my favorite ball dress doesn't fit my boobs crying  ,-1
I miss snsd. I miss my girls unhappy ,-1
Being a parent is very challenging. If we cannot control ourselves we'll give the worst output to the children In other word,-1
 Ngomel crying ,-1
Jonny you and your poor legs make me so sad unhappy  hope you're okay,-1
Hope he's ok,-1
 poor mouse unhappy ,-1
no its okay she survived : ,-1
Yeah! My sight reading was pretty good in high school,-1
 but I'm a bit rusty now! unhappy  ,-1
Me to self: don't buy that.Also me: but I'm a furry unhappy  ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
i love youu so much unhappy  thank you,-1
 and have fun ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
so upsetting the abuse these kids get unhappy   3 ,-1
Oo crying  // Happy3YearsBraceUnited,-1
exactly same in was thinking.. unhappy  ,-1
I'm scared unhappy  I mean. Why the heck did I decide to do laundry at 7:30 pm? What is wrong with me. Did I mention how dark it is. FML,-1
Sunnyside as well unhappy ,-1
y'all want me to choke what'd I do? unhappy   ( ,-1
They have a whole Japan tour ahead of them.. One that will be quite brutal on their already tired bodies. Boys unhappy ,-1
 ahhh I'd be well chuffed,-1
 didn't even get an easter egg this year! unhappy  xx,-1
Can someone buy me a tasbih pls? I don't have one unhappy ,-1
clay and hannah   - they were so in love they deserved to be endgame unhappy  ,-1
please talk to me about nct instant message lonely i need to fangirl once in a while okay crying ,-1
this is so sad what the fuck unhappy ,-1
Please follow me . I have been trying to get your follow for a long time unhappy  . ,-1
I really enjoyed horrizion zero dawn but no idea what to play next unhappy ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
No more good conversations here unhappy ,-1
Annoyingly the spaces in the variable width version of the C64 font that's available on the internet are wi ,-1
i don't like their songs after debyout younhappy  so i can syouggest yoyou jyoust one song i really love,-1
 it's Adore you  ,-1
Jackson unhappy  then Youngjae silence  aww,-1
trop retard sad ,-1
i'd rather be sailor uranus but chibiusa but if thats everyone says i am unhappy  rip,-1
And you're right about McConnell as well. Unfortunately,-1
 we seem to have sold our government some time ago. unhappy ,-1
I wish my dogs knew how much I hyped them up on snap chat unhappy ,-1
some people  you intensionly  they don%27t even they please someone unhappy  ,-1
Very sad unhappy ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
The most painful goodbyes are the onesthat are never said and never explained crying  unhappy  :/,-1
I miss BMF sad ,-1
you're got to disappear half way too? unhappy  everybody want to being lazy eue,-1
+I have no choice but to cancel it. unhappy ,-1
Oh sadly i wont watch her right now  they're forbid me to see her unhappy ,-1
Koalas are dying of thirst  and it's all because of us unhappy  ,-1
R.I.P cellphone unhappy ,-1
and  on the pic? unhappy ,-1
yeah unhappy ,-1
don't miss you anymore unhappy ,-1
okay what TF is this colorful starbucks thing all over social media unhappy ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
Well that's not good unhappy ,-1
Oh boo,-1
 mine isn't in my inbox unhappy ,-1
Didn't keep it unhappy ,-1
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,-1
Hi Ishwar! That's not the experience we want you to have unhappy  We will call you  for more details and sort it out! - Roshan,-1
We All Know unhappy  ,-1
I'll be as strong as I can but it's hard unhappy  xxx,-1
I lost two streaks and it's from my two favorite people silence  unhappy  good night,-1
I can relate to this so so much unhappy  ,-1
Joy we should get him back  ,-1
I can't do it all on my own. (See what I did there? ) ,-1
and they'll brush it off lng telling others not applicable not applicableg-iinot applicablerte lng sila and that other had it worse than them. unhappy ,-1
usually a speedboat behind any we get here on the river unhappy  ,-1
Omg I see why you don't drink alcohol Haha so glad your having fun all you guys ! Wish I ,-1
This happens ALL the time!  unhappy  ,-1
0 motivation to study unhappy  ,-1
happy birthday sweet sweet girl! i hope you have the best day ever! love and miss you so much unhappy   ,-1
NMD R2's so ugly unhappy  ,-1
my honey unhappy  ,-1
philippines? unhappy  ,-1
I want to but I wouldn't be able to get time off for it and don't know people in my year to go with unhappy  ,-1
unhappy  friendzone. damn sad,-1
I cried so much,-1
 I was a mess. I went to bed feeling numb it was awful unhappy ,-1
 [PLEASE RT] he'll buy me a blinking taehyung headband,-1
 if i get 900 retweets and 900 likes. help me :(un,-1
the email I was hoping I'd get today,-1
 didn't arrive unhappy  here's hoping tomorrow it does,-1
Haha mate its all good I love a debte I just wished the center ,-1
wowwow these are all so cute unhappy  i wantt ,-1
That sucks unhappy ,-1
instant message getting sad unhappy ,-1
wow unhappy  people are so mean  ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1
I love them with all my hort unhappy  ,-1
Golly gosh. This is simply dreadful What havoc must be wreaking subsurface? Black salve won't ,-1
Autograph book at the ready,-1
 no sign of Garry Barlow yet sad ,-1
Thank you roshhh  i miss you and everyone too.  love youuu more ,-1
please meeeee you have followed me for almost to  years now unhappy ,-1
what happened unhappy ,-1
True! Khilado kuch unhappy ,-1
realized i havent eaten rice maghapon because i finished 3 packs of spicy seafood noodles + to  extra big chilimansi :(acid attack right now,-1
Post-show blues are hitting hard. unhappy ,-1
all ready for its poster - when my computer gets,-1
good morning unhappy ,-1
Wht sort of thing (can't use word person for it)can cause such suffering to ths sad ,-1
i want to kiss his nose and tell him i love him sad ,-1
i stayed 3 hours on the phone with aD my bubbyyyyyyy i miss her unhappy ,-1
No girl unhappy  that's why. Wa ropiwa 1. Sandton is unnecessarily expensive2. Try salons in Braam.,-1
I was actually looking forward to seeing if your theory around his personal vote was correct unhappy ,-1
Who to bring to MB man unhappy ,-1
I am sad to report that the robins egg my mom found in the yard after a storm has been taken off life support. Poor thing is too frozen unhappy ,-1
Her back unhappy  ,-1
slight buzy kasi besh unhappy  ,-1
When you're late to work because you had to break the news to the lovely lady who cleans the house... crying together unhappy ,-1
They stopped having them when they got rid of the toy surprises at the bottom unhappy ,-1
tell me unhappy  why,-1
i cant find my striped shirt unhappy  so instant message wearing the one that says what is your favorite thing? with lucas in the middle,-1
Guys please help me retweet unhappy  ,-1
there's always shit like this. there's always people who are less deserving getting tickets,-1
 and winning giveaways etc unhappy ,-1
truuuu!! si grim reaper and sunny huhu grabe love story nila unhappy ,-1
I caught a cold. unhappy  It seems I've got tired than I expected....,-1
Shameful,-1
 shameful business :(Stop paying giant corporations for foods you just don't need.... wake up people plea ,-1
I miss my baby unhappy ,-1
HOLY SHIT! 40 pages script of the opening scene of Man Of Steel on Krypton got compressed.I wish I could at least,-1
Late nights ,-1
I face swapped a cat with a dog and it's really upsetting unhappy  ,-1
failed unhappy  .g hehe,-1
I miss my boo so much unhappy ,-1
I need a car unhappy  but no car unhappy  poor me unhappy ,-1
I wish i could attend it too unhappy ,-1
ikr. I would have trauma if i ware him unhappy ,-1
4/20 today,-1
 but it wasn't lit at all unhappy ,-1
why is life so unfair? unhappy ,-1
The biblical lectures are coming. More notification soon. Tomorrow,-1
 in fact. ,-1
I'm so glad I don't care what people think anymore but I wish I still looked my best everyday like I used too sad  I just pick,-1
MUZ U MORE,-1
 SURE NO PROB. ILABYU TOO  ,-1
Such a lucky slave i wish this was me unhappy ,-1
instant message still hoping unhappy  ,-1
fuck unhappy ,-1
i tak ambik wedding package cause i is poor unhappy  i ambik aromaterapi massage je hajxjsjsj. Hehe see uuuu jwa ,-1
Koalas are dying of thirst  and it's all because of us unhappy  ,-1
unhappy  let's fight all those kids ,-1
it's not cassandra cain. unhappy  not sure i want to watch batbuffy. batwoman would have been more interesting. ,-1
Half of the time it doesn't load,-1
 the other half of the time it crashes unhappy  It's embarassing when I' ,-1
right i don%27t see how people can just do shit like this ,-1
i miss hoseok unhappy  ,-1
Left few months in HinHua ler unhappy  I need to gambateh wink  ,-1
A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,-1
She loved Beth so much unhappy ,-1
prince baekhyun.....throw me into the dungeon please i don't deserve to see your beautiful face unhappy ,-1
They are family.  It's awful when they go.  Sorry to hear. unhappy ,-1
I face swapped a cat with a dog and it's really upsetting unhappy  ,-1
my honey unhappy  ,-1
We all do unhappy  Pizza in Taiwan! Its like a swift,-1
 flavorful dream ,-1
Can't :(Tello,-1
Swear I just walked past haha,-1
 didn't get a chance to say hi unhappy ,-1
I miss quacktopia! unhappy ,-1
are dying of thirst  and it's all because of us unhappy   ,-1
Goodnight I love these beautiful boys unhappy  ,-1
Why no available in the U.K.? unhappy ,-1
Ailes sure knew how to make a great network!  Fox is going downhill wi ,-1
penge damit unhappy ,-1
I'm sorry unhappy ,-1
Koalas are dying of thirst  and it's all because of us unhappy  ,-1
i'm hungry unhappy ,-1
Finals are next week unhappy  wish me luck x,-1
I miss Temperance Brennan and Seeley Booth so much unhappy ,-1
I miss quacktopia! unhappy ,-1
I said D2 largely because SD D2 doesn't run on newer versions of Mac OS and I miss playing it unhappy   HD woul ,-1
follow mee plss unhappy  ,-1
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1
Babye old twitter unhappy ,-1
congratyoulations Harry!!!!! Been with you since fifa 13!!!! Miss yoyour younboxing videos unhappy ,-1
can't wait to see you in that film Karl! I wished you would be here were I'm bu,-1
Cram reading unhappy ,-1
I'm job searching and got none so:(ButHedonism i got in abundance,-1
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,-1
Hello I am getting cyber bullied by do something about it unhappy ,-1
Call center nice game 4/20 unhappy ,-1
BES RIP  ,-1
Follow me too unhappy  ,-1
I'll be attending cosmic latte on saturday and i'll give these out to selu shippers KASI SELU MONTH QAQO unhappy  ,-1
baby unhappy  ,-1
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,-1
friendly fire to wings tour unhappy ,-1
my back hurts sad ,-1
Typed up all the medical  shorthand abbreviation we use for work,-1
 and the dame computer decides to crash unhappy  now I... ,-1
excuse me i don%27t see my nama unhappy ,-1
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1
That's shocking and evil unhappy ,-1
Zac farro is back By the way hehehe So sad Jeremy is not unhappy ,-1
Maa ki kuss tumhari. Now take this bullshit you loser. ,-1
I thought mountain dew in Australia had no caffeine and it was the little energy drink cans were caffeinated I will never sleep again unhappy ,-1
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,-1
base unver ajalah MINAHAES unhappy ,-1
