,content,sentiment,Proc_Tweet
92,Astaga unhappy  /? ,-1,stage unhappy
93,I want a puppy now unhappy ,-1,I want puppy unhappy
94,have to work unhappy  but i'll see you tomorrow!! ,-1,work unhappy I see tomorrow
95,happy weed day without them is not the same anymore unhappy ,-1,happy weed day without anymore unhappy
96,my favourite lipstick hilang crying ,-1,favourite lipstick hiding cry
97,Time just flies,-1,time fly
98, can't believe he will be year for next year unhappy  We're becoming old HAHAHAH :v,-1,believe year next year unhappy become old ahahah v
99,The new Twitter reply view has me confused... like do I capitalise my replies to people or not? unhappy ,-1,new twitter reply view confuse like I capitalist reply people unhappy
100,Whaddup. Me too crying ,-1,whaddup cry
101,unhappy  every time laughing my ass off,-1,unhappy every time laugh as
102,who's selling an army bomb ver 2??? meet up on sad ,-1,sell army bomb ver 2 meet sad
103,Yeesh unhappy  It's fairly warm here.,-1,eye unhappy fairly warm
104,easter has flown unhappy  I'm not ready to give up home luxuries like branded cereal,-1,easter fly unhappy I ready give home luxury like brand cereal
105,Ohnoo unhappy  unhappy  hope it recuperates sooner!!,-1,honor unhappy unhappy hope recuperate sooner
106,Her back unhappy  ,-1,back unhappy
107,give me a chance in west server unhappy ,-1,give chance west server unhappy
108,but you were going to do it yesterday unhappy ,-1,go yesterday unhappy
109,I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. sad ,-1,I agree issue would pay somehow I see number add sad
110,I want to drink with cigarettes unhappy ,-1,I want drink cigarette unhappy
111,Oh mince unhappy ,-1,oh since unhappy
112,The manifesto,-1,manifesto
113, Nick? Might he deliver WHEN the time demands it. Story of his life - ,-1,nick might deliver time demand story life
114,It's okay I've accepted you the way you are unhappy ,-1,okay I accept way unhappy
115,why do people abuse animals unhappy  they're so loyal,-1,people abuse animal unhappy loyal
116,i'm actually crying while typing this tweet i just can't take it anymore.. not applicablehulog not applicable knock out d unhappy ,-1,I actually cry tie sweet I take anymore applicablehulog applicable knock unhappy
117,imagine if he wins next time too unhappy  unhappy ,-1,imagine win next time unhappy unhappy
118,Same unhappy ,-1,unhappy
119,I need Cue something that would make me smile....I'll be waiting...:( ,-1,I need due something would make smile I wait
120,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
121,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
122,these nosebleeds are getting outta hands unhappy ,-1,nosebleed get gutta hand unhappy
123,I am perfectly happy being single .. Until I see a happy couple :(KISSES TheFashionIcon,-1,I perfectly happy single I see happy couple kiss thefashionicon
124,Dude I just want more sleep unhappy ,-1,due I want sleep unhappy
125,Feel so fucking shit today unhappy ,-1,feel fuck shit today unhappy
126,wont be able to stream tonight i'm sorry guys unhappy ,-1,wont able stream tonight I sorry gun unhappy
127,I face swapped a cat with a dog and it's really upsetting unhappy  ,-1,I face snapped cat dog really upsetting unhappy
128,your system does not recognize spaces in last names so for 2nd time unable to check in  forced to wait in unnecessary lines unhappy ,-1,system recognize space last names time unable check force wait unnecessary line unhappy
129,still waiting unhappy ,-1,still wait unhappy
130,- Thank you tons,-1,thank ton
131, rocks. next question - where is my astro unhappy  ? ,-1,rock next question gastro unhappy
132,It was not your fault,-1,fault
133, but the customs of Argentina that fill you with paperwork unhappy ,-1,custom argentina fill paperwork unhappy
134,i tried fixing my choristers dress hem that came undone by taping it with fabric tape but i put it on wrong and its even more ruined unhappy ,-1,I try fix chorister dress hem come undone take fabric tape I put wrong even ruin unhappy
135,Small fishie died unhappy ,-1,small fish die unhappy
136,It's too nice outside to be stuck in school all day unhappy ,-1,nice outside stuck school day unhappy
137,EDM pleaseeeeeeeee   unhappy ,-1,ed please unhappy
138,oh my god unhappy  next time mishutuuu,-1,oh god unhappy next time mishutuu
139,Can you say Hi julia ??pleasee crying  ,-1,say hi julia please cry
140,Bby unhappy  your emotion  ,-1,unhappy emotion
141,I seriously thought that Coldplay was going to be band like Depeche Mode or U2,-1,I seriously think coldly go band like peche mode
142, just kept going unhappy  ,-1,kept go unhappy
143,poor baby unhappy  I hate people ,-1,poor baby unhappy I hate people
144,unhappy  i have to be strong today jfjfjkf,-1,unhappy I strong today jfjfjkf
145,I NEED A UNICORN FRAPPUCCINO STAT. I JUST FOUND OUT THEY ARE LIMITED TIMEE! unhappy  How much longer?,-1,I need unicorn frappuino state I find limited time unhappy much longer
146,Her back unhappy  ,-1,back unhappy
147,unhappy  sorry to hear this.....,-1,unhappy sorry hear
148,I won't. if i do it's probably for phil but he hasn't seen me yet unhappy ,-1,I I probably phil see yet unhappy
149,Yuri was here and i didn't know it unhappy  the second snsd i missed ,-1,yuri I know unhappy second I miss
150,why are your campervan tickets so expensive? unhappy ,-1,campervan ticket expensive unhappy
151,Canberra is a land-locked capital. unhappy  ,-1,canberra land lock capital unhappy
152,how much? i cant seem to deathmatch you unhappy ,-1,much I seem deathmatch unhappy
153,.agata baby unhappy  it broke in the mail. but i read your letter  can't thank you enough. you are the best ,-1,agate baby unhappy break mail I read letter thank enough best
154,same unhappy ,-1,unhappy
155,she is! HAHA but I wanted to look like v unhappy ,-1,hata I want look like v unhappy
156,unhappy  they look dead,-1,unhappy look dead
157,Puta I know sorry isn't enough pero sorry padin unhappy ,-1,put I know sorry enough per sorry pain unhappy
158,mannn,-1,mann
159, i want to go to an m's game unhappy ,-1,I want go game unhappy
160,unhappy   feeling bored,-1,unhappy feeling bore
161,I wish i could sleep early unhappy ,-1,I wish I could sleep early unhappy
162,I just hope I start getting the 1GB data per day from tonight!! unhappy ,-1,I hope I start get go data per day tonight unhappy
163,Koalas are dying of thirst  and it's all because of us unhappy  ,-1,ala die thirst us unhappy
164,i want to see you happy sad ,-1,I want see happy sad
165,I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran ,-1,I tell big hung wan less pp phone someone like ran
166,my braces hurt unhappy ,-1,brace hurt unhappy
167,Ohh welcome to CLXSSlC chanyeol oppa! Or should I call you with richard? Kalau jadi sayang gimana? unhappy ,-1,oh welcome classic channel open I call richard kalaw say giant unhappy
168,we don%27t talk anymore like we used to do unhappy ,-1,talk anymore like use unhappy
169,Claaaaaaaaaaaaasse ! ,-1,class
170,What a pity! unhappy  Those were beautiful! But thank you for your answer!,-1,pity unhappy beautiful thank answer
171,Sciatica. What a monumental pain in the arse. unhappy ,-1,sciatica monument pain unhappy
172,This escalated quickly,-1,excavate quickly
173, I'm aborting mission now have a nice day though x ,-1,I adopt mission nice day though x
174,- Thank you tons,-1,thank ton
175, rocks. next question - where is my astro unhappy  ?,-1,rock next question gastro unhappy
176,Her back unhappy  ,-1,back unhappy
177,No stream tonight! Throat is killing me. unhappy ,-1,stream tonight throat kill unhappy
178,Me too...I won't miss the HGVs going past our house though. It was a nice looking building - had initiall ,-1,I miss go past house though nice look building initial
179,Don't say that unhappy ,-1,say unhappy
180,Summer's not in our school's vocabulary unhappy  We need air. Please tell ,-1,summer school vocabulary unhappy need air please tell
181,Bae's not here unhappy ,-1,unhappy
182,Wanna get a haircut but i don%27t know a good place unhappy ,-1,anna get haircut I know good place unhappy
183,it feels kind of empty w/o youngjae at the venue.. unhappy ,-1,feel kind empty w youngjae venue unhappy
184,Her back unhappy  ,-1,back unhappy
185,Yeah ,-1,yeah
186, i think that's going to be true ,-1,I think go true
187, he can't leave us unhappy ,-1,leave us unhappy
188,Yesterday felt like friday unhappy ,-1,yesterday felt like friday unhappy
189, [PLEASE RT] he'll buy me a blinking taehyung headband,-1,please buy blink taehyung headband
190, if i get 900 retweets and 900 likes. help me :(un,-1,I get 900 retreat 900 like help un
191,yes instant message sad crying ,-1,yes instant message sad cry
192,I face swapped a cat with a dog and it's really upsetting unhappy  ,-1,I face snapped cat dog really upsetting unhappy
193,Nice! Some really nice stuff there! Mostly black dresses which i won't get away with for a June wedding though unhappy ,-1,nice really nice stuff mostly black dress I get away june wed though unhappy
194,I miss you unhappy ,-1,I miss unhappy
195,Beyond sad unhappy ,-1,beyond sad unhappy
196,Goodnight princess,-1,goodnight princess
197, I love you  have fun with your friends ,-1,I love fun friend
198,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
199,Something is really wrong. I should be spending my days naked on a beach in the hot sunshine. Not working in the cold in King's Lynn sad ,-1,something really wrong I spend day naked beach hot sunshine work cold king lynn sad
200,Punishment time for JB's team! unhappy  ,-1,punishment time j team unhappy
201,Aw goodnight angel! I love you lots and I hope you're going to have the best tiame and a lot of fun!! Wonho's already am,-1,goodnight angel I love lot I hope go best time lot fun already
202,Not really an amount just loads of sections unhappy  I'll ride up to to netherton now meet me at Darby end ?,-1,really amount load section unhappy I ride netherton meet derby end
203,Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation ,-1,qu I healthcare professional much I want help I scar death I might make situation
204,Got a msg! Oops not you unhappy ,-1,get mug loop unhappy
205,Just chillin~ it's a bit quiet tonight on my tough luck unhappy  what about you??,-1,chill bit quiet tonight tough luck unhappy
206, I bet The media's one-sided view of Tim Tams surprisingly was the alt-right roar extreme droll Fad unhappy ,-1,I bet medium one side view tim dam surprisingly right roar extreme droll fad unhappy
207,my hair is not as crisp unhappy ,-1,hair crisp unhappy
208,a couple more unhappy  ,-1,couple unhappy
209,what the fuck don%27t unhappy ,-1,fuck unhappy
210,Going to CA in July,-1,go ca july
211, our reunion is in August unhappy ,-1,reunion august unhappy
212,The road and traffic signs section of theory revision is such a myth unhappy ,-1,road traffic sign section theory revision myth unhappy
213,unhappy  We're sorry your pizza arrived with mushrooms despite your request. Could you please get in touch vi ,-1,unhappy sorry penza arrive mushroom despite request could please get touch vi
214,you're a kabute unhappy ,-1,acute unhappy
215,last to  things i've bought from you no sweets unhappy ,-1,last thing I buy sweet unhappy
216,Wish I could stay in bed all day and listen to the rain sad ,-1,wish I could stay bed day listen rain sad
217,I don't want to tell fellow Comm students because i don't want them to think I'm some kind of suck-up... unhappy ,-1,I want tell fellow come student I want think I kind suck unhappy
218,When will you notice me? unhappy ,-1,notice unhappy
219,GO AWAY unhappy  ,-1,go away unhappy
220,ally unhappy  I can't make a poem about being cute ,-1,ally unhappy I make poem cut
221,ehh i cant DM you unhappy ,-1,eh I unhappy
222,to  beautiful ladies and so full of fun and body confidence. .. then on the s ,-1,beautiful lady full fun body confidence
223,why is italian easier than spanish unhappy ,-1,italian easy spanish unhappy
224,i find it so difficult to says no to him unhappy  ,-1,I find difficult say unhappy
225,It's only been 3 days and to  nights since mama went back to the province but I already miss her unhappy ,-1,3 day night since mamma go back province I already miss unhappy
226,i want to cry unhappy ,-1,I want cry unhappy
227,I love got7 but god i am bored unhappy ,-1,I love get god I bore unhappy
228,i can't continue this right now because the lighting is shitty as f i swear sorry sad ,-1,I continue right light thirty f I swear sorry sad
229,Let's have dinneeeer please unhappy ,-1,let dinner please unhappy
230,I lost one import quizzz unhappy ,-1,I lose one import quite unhappy
231,i want to be mutuals with you so bad unhappy ,-1,I want mutual bad unhappy
232,Keep looking for the things I bought yesterday in my dream unhappy ,-1,keep look thing I buy yesterday dream unhappy
233,it hurts me to see him so sad unhappy  you don't understand i have to do this. if i don't kill you,-1,hurt see sad unhappy understand I I kill
234, he'll kil ,-1,kill
235,i hate park jisung so much sad ,-1,I hate park rise much sad
236,When your online crush comes to the meet-up without their Snapchat filter unhappy  ,-1,online crush come meet without snapchat filter unhappy
237,I hate when my mom ask so you going or no? Bc then I want to stay home but i missed too much school already unhappy ,-1,I hate mon ask go bc I want stay home I miss much school already unhappy
238,HAPPY BIRTHDAY KATRIKA  I miss you though unhappy  miss having you in our group and all haih  anyway,-1,happy birthday katrika I miss though unhappy miss group hair anyway
239, have a blast okay. love you!,-1,blast okay love
240,I miss my dogs too unhappy ,-1,I miss dog unhappy
241,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
242,DIGITAL MONSTERS WANT TO WORK WITH BLACKPINK MAKE IT HAPPEN PLS unhappy  ,-1,digital monster want work blackpink make happen pu unhappy
243,This is so me though ,-1,though
244,i miss my boys unhappy  i have started working with my own local boys but they are very nervous college friends,-1,I miss boys unhappy I start work local boy nervous college friend
245,we were classmates for alvarez but i don't really see you around school anymore unhappy ,-1,classmate avare I really see around school anymore unhappy
246,ugh i miss my baby crying ,-1,ugh I miss baby cry
247,if anyone needs me I'll be on my vent unhappy ,-1,anyone need I vent unhappy
248,why is it so hard for you to notice me? Haay unhappy ,-1,hard notice hay unhappy
249,i cant deathmatch you piss off unhappy ,-1,I deathmatch pas unhappy
250,When are you going to notice yous? unhappy ,-1,go notice unhappy
251,And I miss my bedroom too unhappy ,-1,I miss bedroom unhappy
252,please take all the rest you needwe love you so so much :(i hope you feel better soon sunshine! ,-1,please take rest needle love much I hope feel well soon sunshine
253,oh,-1,oh
254, same unhappy ,-1,unhappy
255,I miss my baby unhappy  ,-1,I miss baby unhappy
256,it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,-1,day since promotion end I already miss much unhappy
257,i miss them unhappy ,-1,I miss unhappy
258,i miss jihoon sad ,-1,I miss jihoon sad
259,My only one cat yang manja sangat and now someone has took him unhappy  ,-1,one cat sang mania sing someone take unhappy
260,Not tired and there's nothing to do great combo unhappy ,-1,tired nothing great comb unhappy
261,And this tweet made me cry!! crying ,-1,sweet make cry cry
262,back to coconut hair unhappy ,-1,back coronet hair unhappy
263,Please return the jacket unhappy  ,-1,please return jacket unhappy
264,who would you call when you are roused in midnightreminds me of the time(s) they were roommates unhappy  unhappy  unhappy YOU SUCK,-1,would call roused midnightreminds time roommates unhappy unhappy unhappy suck
265,I feel so bad,-1,I feel bad
266, and all the mobbing in Australia,-1,mob australia
267, I just hope everything goes right from now on unhappy ,-1,I hope everything go right unhappy
268,it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,-1,day since promotion end I already miss much unhappy
269,hungry unhappy  but no time to buy food,-1,hungry unhappy time buy food
270,How can I set an alarm for 9am and snooze it until 12 unhappy ,-1,I set alarm ooze 12 unhappy
271,Sad story unhappy  ,-1,sad story unhappy
272,Koalas are dying of thirst  and it's all because of us unhappy  ,-1,ala die thirst us unhappy
273,Hey screenshot sainyo  . Hmm tumagal sana us . Stay what uu are . Im always here fr uu no matter what  . Luv uu so mats ,-1,hey screenshot saint tumagal sink us stay always fr matter love mat
274,Looks awesome Annette,-1,look awesome annette
275, but I can't make it unhappy  Thanks for the heads up though. Please take photos!,-1,I make unhappy thanks head though please take photo
276, narank 1 ako bcos of yoyou. can you please congratyoulate me even if its already late? unhappy  ,-1,rank 1 ago cos please congratulate even already late unhappy
277,it can't be over unhappy ,-1,unhappy
278,RELATABLE unhappy ,-1,reliable unhappy
279,how about me unhappy ,-1,unhappy
280,Offline  unhappy ,-1,office unhappy
281,heeeeey notice me unhappy ,-1,heel notice unhappy
282,i want to hang out with them unhappy ,-1,I want hang unhappy
283,he was talking with the girl behind jin unhappy ,-1,talk girl behind unhappy
284,I need cheering up,-1,I need cheer
285, my dog who my family have had for 18 years is being put down tomorrow unhappy ,-1,dog family 18 year put tomorrow unhappy
286,Molly  1. I wish I could have her hair unhappy  2. Cutest Michael girl  milly on the phone 3. HAIIIIIIR  and your lips 4. Friend5. Yes6. -,-1,folly 1 I wish I could hair unhappy 2 chest michael girl mill phone 3 hair lip 4 friend yes
287,even me unhappy  *hugs*,-1,even unhappy huge
288,I'm a building a LLVM backend so,-1,I build love back
289, I really need to build it unhappy ,-1,I really need build unhappy
290,I can't access my school emails from any web browser unhappy  Yet I have so much homework for all my subjects on there,-1,I less school email web brother unhappy yet I much homework subject
291,oh sad unhappy  goodluck!,-1,oh sad unhappy goodluck
292,Ouch Elena Eremina's foot slip,-1,helena berezina foot slip
293, that fall was a mess unhappy ,-1,fall mess unhappy
294,donny unhappy  ,-1,downy unhappy
295,you're so rude unhappy  ,-1,rude unhappy
296,oh my god same! we should attend on some lessons together sometime just kidding HAHAH ,-1,oh god attend lesson together sometime bidding ahahah
297,Every time Meredith has flashbacks of Derek Shepherd I can't hold back the tears unhappy ,-1,every time meredith flashback dere shepherd I hold back tear unhappy
298,Whew! Can't asses myself unhappy ,-1,whew mass unhappy
299,But I no have round ass crying  ,-1,I round ass cry
300,unhappy  i saw somebody said his hair fell out and bighit trying to figure it out,-1,unhappy I saw somebody say hair fell right try figure
301,koh,-1,oh
302, tolong bantu sampaikan keluhan ARMYs ke dong. Too many complaint here and there since day 1 of ticketing unhappy ,-1,long want sampaikan keluhan army ke long many complaint since day 1 thickening unhappy
303,I keep waking up in the middle of the night sick as shit. unhappy ,-1,I keep wake middle night sick shit unhappy
304,I cringed so hard :(That fall was such a shame- she had been looking really good until that point...,-1,I cringe hard fall shame look really good point
305,man its been about 2hrs since their vlive...its nearly over for sydney ppl... unhappy  goes so quick so appreciate every second!!,-1,man since live nearly sydney pp unhappy go quick appreciate every second
306,Hi Aled,-1,hi lead
307, having no mobile signal sucks unhappy  What's the full postcode for where this is happening? We're keen to help SI,-1,mobile signal suck unhappy full postpone happen keen help si
308,That sucks unhappy ,-1,suck unhappy
309,I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part crying  ,-1,I rusty play game since I like 10 keep die crocodile part cry
310,i really really need them right now unhappy ,-1,I really really need right unhappy
311,Hey guys could you help me by retweeting this? I've heard was legitimate and I really need a VPN account rig,-1,hey gun could help retreat I hear legitimate I really need van count fig
312,GOD NOT THE KOALAS ,-1,god ala
313,Feeling bad unhappy  with 89 others,-1,feel bad unhappy 89 others
314,And this tweet made me cry!! crying ,-1,sweet make cry cry
315,I could write paragraphs about it xDShame its theoretically impossible in real life unhappy ,-1,I could write paragraphs shame theoretical impossible real life unhappy
316,Thank you roshhh  i miss you and everyone too.  love youuu more ,-1,thank rise I miss everyone love
317,Me too sweetie I know how you feel unhappy ,-1,sweet I know feel unhappy
318,When your online crush comes to the meet-up without their Snapchat filter unhappy  ,-1,online crush come meet without snapchat filter unhappy
319,.the person who chose shut the fuck up: unhappy ,-1,person choose shut fuck unhappy
320,sadly yes. since he was expected to continue losing support before dropping bombs unhappy  going up when expe ,-1,sadly yes since expect continue lose support drop bomb unhappy go expel
321,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,-1,I hope little begin overworkiandg get least rest unhappy
322,he could be whatever,-1,could whatever
323, so? sad,-1,sad
324,But the dub is what I watch for Pokemon unhappy ,-1,dub I watch poleon unhappy
325,are dying of thirst  and it's all because of us unhappy   ,-1,die thirst us unhappy
326,Youngjae during fansign on 04/10/17 constantly massaging his back. Clearly something wrong but pretended he was not,-1,youngjae mansion 04 10 17 constantly manage back clearly something wrong pretend
327,but... you use a purple flowercrown in your display picture unhappy ,-1,use purple flowercrown display picture unhappy
328,i still cant unhappy ,-1,I still unhappy
329,well that's terrible unhappy ,-1,well terrible unhappy
330,Sorry piss off /3 unhappy ,-1,sorry pas 3 unhappy
331,I woke up at 4:17,-1,I wake 4 17
332, I'm a joke unhappy ,-1,I joke unhappy
333,So right! Sir Rob loves to torture us unhappy ,-1,right sir rob love torture us unhappy
334,My salary reminds me of the weekends,-1,salary reminds weekend
335, I always know when it come but have no fucking clue how it goes unhappy  ,-1,I always know come fucking clue go unhappy
336,i feel so sick today unhappy ,-1,I feel sick today unhappy
337,I wish but I can't sad ,-1,I wish I sad
338,its my birthday tomorrow baby unhappy ,-1,birthday tomorrow baby unhappy
339,I'm slow unhappy  ,-1,I slow unhappy
340,Super unhappy ,-1,super unhappy
341,trashing others and having a possee behind you boosts your ego,-1,thrash others pass behind boot ego
342, but not your career. unhappy ,-1,career unhappy
343,I just finished gym,-1,I finish grm
344, had chopsuey before that unhappy  laughing my ass off humble feeds are always the bomb!,-1,chopsuey unhappy laugh as humble need always bomb
345,Still not possible! unhappy ,-1,still possible unhappy
346,whaaaaaaaat!!! You and unhappy  ,-1,unhappy
347,You had loads of toys. All I had was a Sweep hand puppet AND the bastard lost its squeak! unhappy ,-1,load toy I sweep hand puppet bastard lose squeaky unhappy
348,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,-1,damn people sincerely want attend birthday party bus people try fun make ca
